Rank,Name,Category,USDC Amount (USD),% of Total
498,RealtyX,RWA,549623.21,0.0014%
499,Benqi Lending,Lending,544983.14,0.0014%
500,Morph Bridge,Bridge,544764.14,0.0014%
501,Ronin Bridge,Canonical Bridge,542517.01,0.0014%
502,DefiTuna Lending,Lending,538183.10,0.0014%
503,Maverick V1,Dexs,537489.19,0.0014%
504,Ghost,Lending,522014.90,0.0013%
505,DefiTuna Liquidity,Liquidity Manager,517499.78,0.0013%
506,Kromatika,Dexs,513299.68,0.0013%
507,Ribbon,Options Vault,513256.94,0.0013%
508,Arche,Yield,510523.28,0.0013%
509,Almanak,Onchain Capital Allocator,509061.99,0.0013%
510,IPOR Derivatives,Derivatives,507358.93,0.0013%
511,Sherlock,Insurance,505238.89,0.0013%
512,NetSwap,Dexs,504314.22,0.0013%
513,Privacy Cash,Privacy,502997.70,0.0013%
514,Liqwid,Lending,502408.76,0.0013%
515,VVS Flawless,Dexs,501504.31,0.0013%
